"stud_id","chal_1","chal_2","chal_3","chal_4","chal_5","q2_1_1","q2_1_2","q2_1_3","q2_1_4","q2_1_5","q2_1_6","q2_2_1","q2_2_2","q2_2_3","q2_2_4","q2_2_5","q2_2_6","q3_1_1","q3_1_2","q3_1_3","q3_1_4","q3_1_5","q3_1_6","q3_1_7","q3_1_8","q3_1_9","q3_1_10","q3_1_3_rev","s_cp","s_intrin","s_extrin","s_aut"
60320,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2,5,5,1,1,1,2,2,1,1,1,2.83333333333333,3,1.8
60321,1,1,1,1,1,2,1,3,1,2,3,1,3,2,3,3,1,2,2,4,3,1,1,2,2,1,3,2,1,2.5,1.66666666666667,1.9
60322,1,1,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,2,1,5,5,2,5,1,2,1,1,1,0.6,3,3,2.1
60323,1,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,3,2,2,1,2,2,1,2,2,1,2,5,1,3,2.83333333333333,2.1
80401,1,1,0,1,1,2,2,1,2,1,3,2,2,1,3,2,1,2,3,2,2,2,2,3,2,2,1,4,0.8,2,1.66666666666667,2.3
80402,1,1,1,0,1,2,3,1,2,3,2,3,2,3,2,,1,3,2,2,2,2,2,2,2,1,1,4,0.8,1.66666666666667,2.8,2.1
80403,1,1,1,1,1,2,2,3,2,1,1,2,2,2,3,1,2,2,4,2,1,2,3,2,1,1,2,4,1,2.16666666666667,1.66666666666667,2.2
80404,1,1,0,1,1,2,2,2,2,2,2,2,2,3,1,3,2,2,2,4,2,2,2,2,3,4,2,2,0.8,1.83333333333333,2.33333333333333,2.3
80405,0,0,0,0,0,2,3,2,1,1,3,3,1,1,2,3,3,3,2,1,2,1,1,5,1,1,1,5,0,2.16666666666667,2,2.2
80406,1,1,1,0,1,2,3,2,2,1,2,2,2,1,3,2,2,3,3,4,2,2,3,2,2,1,3,2,0.8,2.16666666666667,1.83333333333333,2.3
80407,1,1,1,1,1,2,3,3,1,1,3,3,3,1,3,2,3,3,3,4,4,2,3,3,2,4,2,2,1,2.83333333333333,1.83333333333333,2.8
80408,,0,,0,1,2,2,2,2,1,2,1,2,1,1,,2,,1,5,5,5,2,,5,3,1,1,0.333333333333333,1.83333333333333,1.4,2.875
80409,1,1,1,1,1,3,2,3,1,1,3,2,2,1,2,1,2,2,4,2,2,1,3,5,2,2,2,4,1,2.5,1.33333333333333,2.7
80410,1,1,0,1,1,1,3,1,1,2,1,3,1,2,1,2,1,2,2,4,1,1,2,4,1,1,1,2,0.8,1,2.16666666666667,1.7
80411,0,1,1,1,1,2,3,2,2,2,3,2,2,3,2,2,2,2,2,4,2,1,1,3,1,1,1,2,0.8,2.16666666666667,2.33333333333333,1.6
80412,0,1,0,1,1,2,3,3,2,1,2,2,2,2,2,3,1,3,2,4,2,3,2,2,2,1,2,2,0.6,2,2.16666666666667,2.1
80413,1,1,1,1,1,2,3,2,2,1,3,3,3,1,3,1,3,2,4,5,3,4,5,3,3,4,4,1,1,2.66666666666667,1.83333333333333,3.3
80415,1,1,0,1,1,3,3,2,3,1,2,1,1,2,2,1,2,2,2,3,2,2,4,1,4,5,2,3,0.8,2,1.83333333333333,2.7
80416,0,1,0,0,1,3,3,3,2,2,3,1,1,3,3,1,1,,2,2,2,1,2,3,3,1,1,4,0.4,2.33333333333333,2,2.11111111111111
80417,1,1,0,1,1,2,3,3,3,1,2,3,2,2,3,3,2,2,3,3,2,3,2,3,4,1,2,3,0.8,2.33333333333333,2.5,2.5
80418,0,1,0,1,1,2,3,1,3,3,1,2,1,3,2,3,1,2,4,5,2,2,3,3,2,1,3,1,0.6,1.33333333333333,2.83333333333333,2.3
80419,1,1,0,1,1,1,3,2,2,1,2,3,2,2,1,3,1,2,2,5,2,1,2,2,1,1,1,1,0.8,1.5,2.33333333333333,1.5
80420,1,1,1,1,1,3,3,3,3,3,2,2,1,3,2,3,1,2,2,2,1,1,1,1,2,4,2,4,1,2,2.83333333333333,2
80421,0,0,1,0,0,3,3,2,3,3,3,3,3,2,3,1,3,3,2,5,2,1,2,1,2,1,1,1,0.2,2.83333333333333,2.5,1.6
80423,1,1,1,1,1,2,2,2,1,1,3,2,2,1,3,1,3,3,2,2,2,1,4,4,2,3,2,4,1,2.5,1.33333333333333,2.7
10501,1,1,0,1,1,2,3,2,1,1,3,2,2,1,1,3,1,2,2,5,5,4,2,1,1,1,2,1,0.8,1.83333333333333,1.83333333333333,2.1
10502,1,0,1,0,1,3,3,2,3,3,3,3,3,3,3,3,2,2,1,5,1,1,1,1,2,1,1,1,0.6,2.66666666666667,3,1.2
10503,1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,4,1,4,3,1,1,4,5,2,3,2,0.8,3,3,2.6
10504,1,1,1,1,1,2,3,2,2,3,3,3,3,3,3,3,2,2,2,4,2,2,1,2,2,2,2,2,1,2.5,2.83333333333333,1.9
10505,1,1,1,1,1,1,3,2,3,3,2,3,2,3,2,3,2,2,1,5,3,2,2,1,1,2,1,1,1,1.83333333333333,3,1.6
10508,1,1,1,1,0,2,3,2,3,2,3,2,3,1,3,3,1,2,1,5,3,3,1,3,2,1,2,1,0.8,2.33333333333333,2.33333333333333,1.9
10509,1,1,1,1,1,3,3,2,1,1,3,3,3,1,3,1,3,2,1,5,1,4,1,1,3,1,1,1,1,2.83333333333333,1.66666666666667,1.6
10510,1,1,0,1,1,3,3,3,1,2,3,3,3,2,3,3,3,4,2,3,3,3,4,1,1,2,3,3,0.8,3,2.33333333333333,2.6
10512,1,1,0,1,0,3,1,3,1,1,3,2,3,2,3,3,1,1,1,5,4,5,1,4,4,1,3,1,0.6,2.66666666666667,1.66666666666667,2.5
10513,1,1,1,1,1,1,3,2,1,1,3,3,3,1,3,1,1,1,1,2,2,3,1,1,2,2,2,4,1,2.16666666666667,1.66666666666667,1.9
10514,1,0,0,1,0,1,2,1,3,1,3,3,2,1,2,3,3,2,1,5,2,3,2,1,4,2,1,1,0.4,2,2.16666666666667,1.9
